=======================================
SLURM_ARRAY_TASK_ID = 0
YAML_PATH = /om2/user/bjmedina/auditory-memory/memory/model_yamls/all/run_000000.yaml
=======================================
Running config:
  YAML: /om2/user/bjmedina/auditory-memory/memory/model_yamls/all/run_000000.yaml
  Encoder: kell2018
  Metric: cosine
  Noise: two-regime
[sh820npw2h5_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[uwgm7dfmcsx_multi.csv] ISI=0 d' = 0.00 (HR=0.60, FAR=0.60)
[zdtbnpsquuw_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[emtahdjlvvw_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[8cakgokfdd4_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[fzsgs2l3kv6_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[z80wg3dft6l_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[ybxso8qzoq7_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[knjgwzns2sx_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[ybqfyr70bz4_multi.csv] ISI=0 d' = 4.56 (HR=0.80, FAR=0.00)
[tfuqr03v8c9_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[mra03womg73_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[speaf6twho8_multi.csv] ISI=0 d' = 3.47 (HR=1.00, FAR=0.60)
[0aexuuy3jw5_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[oltw3pp3pfr_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[u4hbplsm31w_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[bzyk4hc3cde_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[p3vkzjpnw66_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[01gxgqa689a_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[hrteophh0pu_multi.csv] ISI=0 d' = 4.56 (HR=0.80, FAR=0.00)
[ktaaby6ld90_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[9rwxu8lxyyr_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[ejz40qguv35_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[raj6sjv7pcj_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[lut6hg5xon9_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[q14nnxsregs_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[shtqnmy97mp_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[ejjc126fd0u_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[7vhgp1zu7kb_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[0lhqrvvjb4p_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[kz6bj9wawjy_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[gksy84g2lpu_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[khhrb4g0uv1_multi.csv] ISI=0 d' = 1.68 (HR=0.80, FAR=0.20)
[va04qlgd4ce_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[kdb085brwar_multi.csv] ISI=0 d' = 0.00 (HR=0.80, FAR=0.80)
[su16pr03k2x_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[mw86l9t2yga_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[vk04k6zahs6_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[7360ktuzcvs_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[4oysnjlg9fq_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[bzoqqv1zjhr_multi.csv] ISI=0 d' = 0.00 (HR=0.60, FAR=0.60)
[hk7u0p0we8y_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[cszx4tr9bmc_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[419dn2u0ojx_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[v8u8oc95pmb_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[kwld89oo4rb_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[n9d1plo3ctx_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[8404oebz31c_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[5lhk3cbvax6_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
